ECRef,RegulatedEntityName,RegulatedEntityTypeName,RegistrationStatusName,RegisterName,EntityStatusName,ReferendumName,DesignationStatusName,CompanyRegistrationNumber,ApprovedDate,FieldingCandidatesInEngland,FieldingCandidatesInScotland,FieldingCandidatesInWales,FieldingCandidatesInEurope,FieldingCandidatesMinorParty,ReferendumOutcome,CampaigningName,FinancialYearEnd
PP2708,National Front,Political Party,Registered,Northern Ireland,,,,,07/04/2015,False,False,False,False,False,,,31/12
PP2707,National Front,Political Party,Registered,Great Britain,,,,,26/03/2015,True,True,True,False,False,,,31/12
PP1931,National Health Action Party,Political Party,Registered,Great Britain,,,,,11/07/2012,True,True,True,False,False,,,31/12
PP32,National Liberal Party - True Liberalism,Political Party,Registered,Great Britain,,,,,25/03/1999,True,True,True,True,False,,,31/12
PP6791,Net Tax Payers Consent Party,Political Party,Registered,Great Britain,,,,,11/12/2018,True,True,True,True,False,,,31/12
PP2645,New Parliament Party,Political Party,Registered,Great Britain,,,,,23/02/2015,True,True,True,False,False,,,31/12
PP905,Newcastle Independents,Political Party,Registered,Great Britain,,,,,18/02/2011,True,False,False,False,False,,,31/12
PP867,Newclear Outline (NO),Political Party,Registered,Great Britain,,,,,13/04/2010,True,True,True,False,False,,,31/12
PP6367,Newport Independents Party,Political Party,Registered,Great Britain,,,,,16/03/2017,False,False,True,False,False,,,31/12
PP138,Nork Residents' Association,Political Party,Registered,Great Britain,,,,,29/03/2001,True,False,False,False,False,,,31/12
PP756,Northampton - Save Our Public Services,Political Party,Registered,Great Britain,,,,,20/04/2009,True,False,False,False,False,,,31/12
PP6656,Northamptonshire Independents,Political Party,Registered,Great Britain,,,,,25/01/2018,True,False,False,False,False,,,31/12
PP4087,Northern Ireland Labour Representation Committee,Political Party,Registered,Northern Ireland,,,,,11/04/2016,False,False,False,False,False,,,31/12
PP6649,Nottingham Independents,Political Party,Registered,Great Britain,,,,,22/01/2018,True,False,False,False,False,,,31/12
PP6848,Nova Forte,Political Party,Registered,Great Britain,,,,,23/10/2018,True,True,True,False,False,,,31/12
PP66,Official Monster Raving Loony Party,Political Party,Registered,Great Britain,,,,,18/03/1999,True,True,True,False,False,,,31/12
PP2242,Old Swan Against the Cuts,Political Party,Registered,Great Britain,,,,,18/02/2014,True,False,False,False,False,,,31/12
PP12548,One Kearsley,Political Party,Registered,Great Britain,,,,,23/06/2020,True,False,False,False,False,,,31/12
PP2037,Orkney Manifesto Group,Political Party,Registered,Great Britain,,,,,12/03/2013,False,True,False,False,False,,,31/12
PP12513,Our Island,Political Party,Registered,Great Britain,,,,,07/07/2020,True,False,False,False,False,,,31/12
PP2642,Our West Lancashire,Political Party,Registered,Great Britain,,,,,20/02/2015,True,False,False,False,False,,,31/12
PP10269,Our West Midlands,Political Party,Registered,Great Britain,,,,,11/03/2020,True,False,False,False,False,,,31/12
PP3978,Oxted & Limpsfield Residents Group,Political Party,Registered,Great Britain,,,,,23/03/2016,True,False,False,False,False,,,31/12
PP1969,Patria,Political Party,Registered,Great Britain,,,,,09/11/2012,True,True,True,False,False,,,31/12
PP2,People Against Bureaucracy Group,Political Party,Registered,Great Britain,,,,,25/03/1999,True,False,False,False,False,,,28/2
PP773,People Before Profit Alliance,Political Party,Registered,Northern Ireland,,,,,01/09/2009,False,False,False,False,False,,,31/12
PP770,Pirate Party UK,Political Party,Registered,Great Britain,,,,,30/07/2009,True,True,True,True,False,,,31/12
PP77,Plaid Cymru - The Party of Wales,Political Party,Registered,Great Britain,,,,,14/01/1999,False,False,True,False,False,,,31/12
PP11468,Political Unity for Progress,Political Party,Registered,Great Britain,,,,,07/05/2020,True,True,True,False,False,,,31/12
PP3914,Populist Party,Political Party,Registered,Great Britain,,,,,14/12/2015,True,True,True,False,False,,,31/12
PP6793,Portishead Independents,Political Party,Registered,Great Britain,,,,,04/05/2018,True,False,False,False,False,,,31/12
PP9182,Positive Horizon,Political Party,Registered,Northern Ireland,,,,,15/07/2019,False,False,False,False,False,,,31/12
PP9068,Positive Horizon,Political Party,Registered,Great Britain,,,,,18/04/2019,True,True,True,False,False,,,31/12
PP8002,Progress and Reform Party,Political Party,Registered,Great Britain,,,,,12/03/2019,True,True,True,False,False,,,31/12
PP8036,Progressive Party,Political Party,Registered,Great Britain,,,,,10/04/2019,True,True,True,True,False,,,31/12
PP101,Progressive Unionist Party of Northern Ireland,Political Party,Registered,Northern Ireland,,,,,24/03/1999,False,False,False,False,False,,,31/12
PP7985,Prosper UK,Political Party,Registered,Great Britain,,,,,12/03/2019,True,True,True,True,False,,,31/12
PP10256,Proud of Oldham & Saddleworth,Political Party,Registered,Great Britain,,,,,11/10/2019,True,False,False,False,False,,,31/12
PP6655,Psychedelic Future Party,Political Party,Registered,Great Britain,,,,,18/01/2018,True,True,True,False,False,,,31/12
PP12493,"Putting Crewe First, Independent Residents Group.",Political Party,Registered,Great Britain,,,,,23/06/2020,True,False,False,False,False,,,31/12
PP9085,Radcliffe First,Political Party,Registered,Great Britain,,,,,18/04/2019,True,False,False,False,False,,,31/12
PP238,Rainham Resident's Association,Political Party,Registered,Great Britain,,,,,25/03/2002,True,False,False,False,False,,,31/12
PP268,Real Democracy Party,Political Party,Registered,Northern Ireland,,,,,26/11/2002,False,False,False,False,False,,,31/12
PP267,Real Democracy Party,Political Party,Registered,Great Britain,,,,,26/11/2002,True,True,True,False,False,,,31/12
PP2674,Rebooting Democracy,Political Party,Registered,Great Britain,,,,,01/04/2015,True,True,True,True,False,,,31/12
PP6878,Red Party of Scotland,Political Party,Registered,Great Britain,,,,,24/10/2018,False,True,False,False,False,,,31/12
PP2806,Redbridge Trade Union Party,Political Party,Registered,Great Britain,,,,,29/07/2015,True,False,False,False,False,,,30/6
PP86,Reform 2000 Party,Political Party,Registered,Great Britain,,,,,19/03/2000,True,True,True,False,False,,,31/12
PP11471,Reform Derby,Political Party,Registered,Great Britain,,,,,18/03/2020,True,False,False,False,False,,,31/12
PP6316,Regional Party,Political Party,Registered,Great Britain,,,,,30/10/2017,True,False,False,False,False,,,31/12
PP11423,Rejoin EU,Political Party,Registered,Great Britain,,,,,17/02/2020,True,True,True,True,False,,,31/12
PP6595,Renew,Political Party,Registered,Great Britain,,,,,30/10/2017,True,True,True,True,False,,,31/12
PP74,Residents Associations of Epsom and Ewell,Political Party,Registered,Great Britain,,,,,13/12/2000,True,False,False,False,False,,,31/12
PP9049,Residents for Guildford and Villages,Political Party,Registered,Great Britain,,,,,12/03/2019,True,False,False,False,False,,,31/12
PP2468,Residents for Uttlesford,Political Party,Registered,Great Britain,,,,,29/10/2014,True,False,False,False,False,,,31/12
PP8038,Residents of Wilmslow,Political Party,Registered,Great Britain,,,,,26/02/2019,True,False,False,False,False,,,31/12
PP6808,Residents' Association of Cuddington,Political Party,Registered,Great Britain,,,,,29/05/2018,True,False,False,False,False,,,31/12
PP836,Restoration Party,Political Party,Registered,Great Britain,,,,,12/03/2010,True,True,True,True,False,,,31/12
PP837,Restoration Party,Political Party,Registered,Northern Ireland,,,,,12/03/2010,False,False,False,False,False,,,31/12
PP89,Revolutionary Communist Party Britain (Marxist-Leninist),Political Party,Registered,Great Britain,,,,,09/05/2000,True,True,True,False,False,,,31/12
PP2871,"RISE  - Respect, Independence, Socialism and Environmentalism",Political Party,Registered,Great Britain,,,,,16/12/2015,False,True,False,False,False,,,31/12
PP341,Rochford District Residents,Political Party,Registered,Great Britain,,,,,09/07/2003,True,False,False,False,False,,,31/12
PP11473,Rotherham Democratic Party,Political Party,Registered,Great Britain,,,,,26/02/2020,True,False,False,False,False,,,31/12
PP205,Runnymede Independent Residents' Group,Political Party,Registered,Great Britain,,,,,29/10/2001,True,False,False,False,False,,,31/12
PP7920,Saddleworth First!,Political Party,Registered,Great Britain,,,,,16/11/2018,True,False,False,False,False,,,31/12
PP2042,Sandown Independents,Political Party,Registered,Great Britain,,,,,12/03/2013,True,False,False,False,False,,,31/12
PP6718,Save Our Beeston and Holbeck Independents,Political Party,Registered,Great Britain,,,,,31/01/2018,True,False,False,False,False,,,31/12
PP6712,Save Us Now,Political Party,Registered,Great Britain,,,,,23/03/2018,True,False,False,False,False,,,31/12
PP6852,Scotland - Unhyphenated,Political Party,Registered,Great Britain,,,,,28/08/2018,False,True,False,False,False,,,31/12
PP768,Scottish Democratic Alliance,Political Party,Registered,Great Britain,,,,,03/07/2009,False,True,False,False,False,,,31/12
PP2832,Scottish Democrats,Political Party,Registered,Great Britain,,,,,21/08/2015,False,True,False,False,False,,,31/12
PP6380,Scottish Family Party,Political Party,Registered,Great Britain,,,,,11/09/2017,True,True,True,False,False,,,31/12
PP130,Scottish Green Party,Political Party,Registered,Great Britain,,,,,04/04/2001,False,True,False,False,False,,,31/12
PP3906,Scottish Libertarian Party,Political Party,Registered,Great Britain,,,,,02/03/2016,False,True,False,False,False,,,31/12
PP102,Scottish National Party (SNP),Political Party,Registered,Great Britain,,,,,14/01/1999,False,True,False,False,False,,,31/12
PP46,Scottish Socialist Party,Political Party,Registered,Great Britain,,,,,25/02/1999,False,True,False,False,False,,,31/12
PP809,Scottish Unionist Party,Political Party,Registered,Great Britain,,,,,10/02/2010,False,True,False,False,False,,,31/12
PP55,SDLP (Social Democratic & Labour Party),Political Party,Registered,Northern Ireland,,,,,14/01/1999,False,False,False,False,False,,,31/12
PP4182,Seaham Community Party,Political Party,Registered,Great Britain,,,,,11/08/2016,True,False,False,False,False,,,1/1
PP2803,Self-Ownership Party,Political Party,Registered,Great Britain,,,,,03/07/2015,True,False,False,False,False,,,31/12
PP10290,Shropshire Party,Political Party,Registered,Great Britain,,,,,07/11/2019,True,False,False,False,False,,,31/12
PP39,Sinn Féin,Political Party,Registered,Northern Ireland,,,,,14/01/1999,False,False,False,False,False,,,31/12
PP6816,Skegness urban district society,Political Party,Registered,Great Britain,,,,,08/08/2018,True,False,False,False,False,,,31/12
PP7956,Skelmersdale Independent Party,Political Party,Registered,Great Britain,,,,,04/02/2019,True,False,False,False,False,,,31/12
PP243,Social Democratic Party,Political Party,Registered,Great Britain,,,,,24/07/2002,True,True,True,True,False,,,31/12
PP559,Socialist Alliance,Political Party,Registered,Great Britain,,,,,30/01/2007,True,False,True,True,False,,,31/12
PP108,Socialist Alternative,Political Party,Registered,Great Britain,,,,,25/03/1999,True,False,True,False,False,,,31/12
PP633,Socialist Equality Party,Political Party,Registered,Great Britain,,,,,27/02/2007,True,True,True,False,False,,,31/12
PP73,Socialist Labour Party,Political Party,Registered,Great Britain,,,,,25/02/1999,True,True,True,False,False,,,31/12
PP28,Socialist Party (Northern Ireland),Political Party,Registered,Northern Ireland,,,,,25/02/1999,False,False,False,False,False,,,31/12
PP2897,Solidarity - Scotland's Socialist Movement,Political Party,Registered,Great Britain,,,,,06/01/2016,False,True,False,False,False,,,31/12
PP840,Solihull and Meriden Residents Association,Political Party,Registered,Great Britain,,,,,15/03/2010,True,False,False,False,False,,,31/12
PP2486,Something New,Political Party,Registered,Great Britain,,,,,12/03/2015,True,True,True,True,False,,,31/12
PP896,South Woodham Ferrers Council Taxpayers Association,Political Party,Registered,Great Britain,,,,,01/12/2010,True,False,False,False,False,,,31/12
PP549,Space Navies Party,Political Party,Registered,Great Britain,,,,,21/03/2006,True,True,True,False,False,,,31/12
PP6403,St. Neots Independent Group,Political Party,Registered,Great Britain,,,,,20/03/2017,True,False,False,False,False,,,31/12
PP6757,Stalybridge Town Party,Political Party,Registered,Great Britain,,,,,29/03/2018,True,False,False,False,False,,,31/12
PP591,Stoneleigh and Auriol Residents' Association,Political Party,Registered,Great Britain,,,,,17/10/2006,True,False,False,False,False,,,31/12
PP6730,Swale Independents,Political Party,Registered,Great Britain,,,,,21/05/2018,True,False,False,False,False,,,31/12
PP6370,Swanscombe and Greenhithe Residents' Association,Political Party,Registered,Great Britain,,,,,20/03/2017,True,False,False,False,False,,,30/9
PP6615,Taking The Initiative Party,Political Party,Registered,Great Britain,,,,,02/10/2017,True,False,True,False,False,,,31/12
PP141,Tattenham & Preston Residents,Political Party,Registered,Great Britain,,,,,29/03/2001,True,False,False,False,False,,,31/12
PP6322,Temple and Farringdon Together,Political Party,Registered,Great Britain,,,,,16/02/2017,True,False,False,False,False,,,31/12
PP661,Tendring First,Political Party,Registered,Great Britain,,,,,26/03/2007,True,False,False,False,False,,,31/12
PP48,Tewkesbury and Twyning Independents,Political Party,Registered,Great Britain,,,,,27/07/2000,True,False,False,False,False,,,31/12
